31.12.2017 21:00;4,7;Ветер, дующий с северо-востока;2;Ливень (ливни).
31.12.2017 18:00;3,6;Ветер, дующий с востоко-северо-востока;4;Ливень (ливни).
31.12.2017 15:00;2,9;Ветер, дующий с востоко-северо-востока;2;Ливень (ливни).
31.12.2017 12:00;1,5;Ветер, дующий с востока;4;Туман или ледяной туман или сильная мгла.
31.12.2017 9:00;0,2;Ветер, дующий с востока;4;Туман или ледяной туман или сильная мгла.
31.12.2017 6:00;0,2;Ветер, дующий с востока;6;Туман или ледяной туман или сильная мгла.
31.12.2017 3:00;1,3;Ветер, дующий с востока;6;Дождь.
31.12.2017 0:00;1,7;Ветер, дующий с востоко-северо-востока;4;Туман или ледяной туман или сильная мгла.
30.12.2017 21:00;1,6;Ветер, дующий с востока;7;Туман или ледяной туман или сильная мгла.
30.12.2017 18:00;1,8;Ветер, дующий с востока;6;Облака покрывали более половины неба в течение всего соответствующего периода.
30.12.2017 15:00;2,3;Ветер, дующий с востока;7;Облака покрывали более половины неба в течение всего соответствующего периода.
30.12.2017 12:00;2,3;Ветер, дующий с востока;7;Облака покрывали более половины неба в течение всего соответствующего периода.
30.12.2017 9:00;2,5;Ветер, дующий с востока;8;Облака покрывали более половины неба в течение всего соответствующего периода.
30.12.2017 6:00;2,8;Ветер, дующий с востоко-юго-востока;8;Облака покрывали более половины неба в течение всего соответствующего периода.
30.12.2017 3:00;3,3;Ветер, дующий с востока;11;Облака покрывали более половины неба в течение всего соответствующего периода.
30.12.2017 0:00;3,5;Ветер, дующий с востока;11;Облака покрывали более половины неба в течение всего соответствующего периода.
29.12.2017 21:00;3,4;Ветер, дующий с востока;9;Облака покрывали более половины неба в течение всего соответствующего периода.
29.12.2017 18:00;3,5;Ветер, дующий с востока;7;Облака покрывали более половины неба в течение всего соответствующего периода.
29.12.2017 15:00;3,3;Ветер, дующий с востока;7;Туман или ледяной туман или сильная мгла.
29.12.2017 12:00;2,1;Ветер, дующий с востока;6;Туман или ледяной туман или сильная мгла.
29.12.2017 9:00;0,9;Ветер, дующий с востока;6;Туман или ледяной туман или сильная мгла.
29.12.2017 6:00;0,6;Ветер, дующий с востока;5;Туман или ледяной туман или сильная мгла.
29.12.2017 3:00;-0,5;Ветер, дующий с востока;5;Туман или ледяной туман или сильная мгла.
29.12.2017 0:00;2,9;Ветер, дующий с востока;5;Облака покрывали более половины неба в течение всего соответствующего периода.
28.12.2017 21:00;4,6;Ветер, дующий с востока;4;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.
