31.12.2014 23:00;-20,9;Ветер, дующий с севера;2;Ливень (ливни).
31.12.2014 20:00;-18,5;Ветер, дующий с северо-северо-запада;3;Ливень (ливни).
31.12.2014 17:00;-16;Ветер, дующий с севера;3;Ливень (ливни).
31.12.2014 14:00;-12,8;Ветер, дующий с севера;1;Снег и/или другие виды твердых осадков
31.12.2014 11:00;-13,2;Ветер, дующий с востока;1;Снег и/или другие виды твердых осадков
31.12.2014 8:00;-13,4;Ветер, дующий с востоко-северо-востока;2;Снег и/или другие виды твердых осадков
31.12.2014 5:00;-13,1;Ветер, дующий с востока;2;Снег и/или другие виды твердых осадков
31.12.2014 2:00;-13,3;Ветер, дующий с юго-востока;2;Снег и/или другие виды твердых осадков
30.12.2014 23:00;-13;Ветер, дующий с юго-запада;2;
30.12.2014 20:00;-12,7;Ветер, дующий с западо-юго-запада;4;
30.12.2014 17:00;-11,9;Ветер, дующий с запада;4;
30.12.2014 14:00;-10,1;Ветер, дующий с западо-юго-запада;4;
30.12.2014 11:00;-10;Ветер, дующий с запада;5;
30.12.2014 8:00;-9,4;Ветер, дующий с западо-юго-запада;5;Ливень (ливни).
30.12.2014 5:00;-11,3;Ветер, дующий с юго-юго-запада;1;Ливень (ливни).
30.12.2014 2:00;-11,1;Ветер, дующий с юго-юго-востока;2;Ливень (ливни).
29.12.2014 23:00;-11,1;Ветер, дующий с юго-востока;3;Ливень (ливни).
29.12.2014 20:00;-11,1;Ветер, дующий с юго-востока;4;Ливень (ливни).
29.12.2014 17:00;-10,2;Ветер, дующий с юго-востока;6;Снег и/или другие виды твердых осадков
29.12.2014 14:00;-11,6;Ветер, дующий с востоко-юго-востока;5;Снег и/или другие виды твердых осадков
29.12.2014 11:00;-13,9;Ветер, дующий с юго-востока;4;Снег и/или другие виды твердых осадков
29.12.2014 8:00;-14,8;Ветер, дующий с юго-востока;4;
29.12.2014 5:00;-16,3;Ветер, дующий с востоко-юго-востока;2;
29.12.2014 2:00;-16,8;Ветер, дующий с юго-востока;1;
28.12.2014 23:00;-16;Ветер, дующий с юга;1;
28.12.2014 20:00;-14,9;Ветер, дующий с западо-юго-запада;2;
28.12.2014 17:00;-13,7;Ветер, дующий с запада;2;
28.12.2014 14:00;-12,5;Ветер, дующий с западо-юго-запада;3;
28.12.2014 11:00;-14;Ветер, дующий с запада;4;Метель
28.12.2014 8:00;-14,6;Ветер, дующий с запада;4;Метель
28.12.2014 5:00;-13,6;Ветер, дующий с западо-северо-запада;5;Ливень (ливни).
28.12.2014 2:00;-13,7;Ветер, дующий с запада;7;Ливень (ливни).
